,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중정비 진행 현황 (종합),,,,,,,,,,,,,,,,,관리자 :,,,,,지연확정,"지연
가능성","정상출고
예정","조기출고
예정",출고완료,
,,MIA,0.0 ,0.0 ,,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,항공기 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기종,,기번,,항공사,PKG,,,,Bay,Plan,From,,,To,,,TAT,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,2,,,,TO,,,#VALUE!,,,,,,,,,,
,,,,,,,,,,,,3,,,08:00,2026.08.08.,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bay2 종합 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,,OT,전일 인원 투입 ,,,"인원
투입",,,,,,,,,
,,구분,Plan,Actual,진행,선임,DMSM,주간,야간,합계,야간,OT,가용,야간,OT ,,Actual,야간,OT,,,,,,,,,,
,,MHA,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,,OT,전일 인원 투입 ,,,,,,,,,,,
,,MHE,구분,Plan,Actual,진행,선임,,주간,야간,합계,야간,OT,가용,야간,OT ,,Actual,야간,,,,,,,,,,
,,MHR,AMT,135.0 ,0%,0,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,
,,MIA,AVT,36.0 ,0%,0,,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,항공기 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기종,,기번,,항공사,PKG,,,,Bay,Plan,From,,,To,,,TAT,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,2,,,,,,TO,0N 0D,,,,,,,,,,
,,,,,,,,,,,,3,,,,,,00:00,0N 0D,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bay 3 종합 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,,OT,전일 인원 투입 ,,,"인원
투입",,,,,,,,,
,,구분,Plan,Actual,진행,선임,DMSM,주간,야간,합계,야간,OT,가용,야간,OT ,,Actual,야간,OT,,,,,,,,,,
,,MHA,,,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,,OT,#DIV/0!,,,,,,,,,
,,MHE,,,구분,Plan,Actual,진행,선임,,주간,야간,합계,야간,OT,가용,야간,OT ,,,,,,,,,,,
,,MHR,,,AMT,49.0,72.9 ,1.5 ,,0.0 ,12.0 ,6.0 ,18.0 ,2.3 ,0.0 ,20.3 ,16.0 ,3.0 ,,,,,,,,,,,
,,MIA,,,AVT,24.0,15.0 ,0.6 ,,,3.0 ,0.0 ,3.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,항공기 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기종,,기번,,항공사,PKG,,,,Bay,Plan,From,,,To,,,TAT,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,2,,,,FROM,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,3,,,,2026.08.06.,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bay 4 종합 현황,,,,,,,,,,,,,,,,,,,,,,,,,,,
